repo,module,category,parent_module,energy,view
flask,html,stdlib,flask.globals,49663.490857720586,nested
flask,email,stdlib,flask.globals,89357.22285453614,nested
flask,http,stdlib,flask.globals,79783.54239791712,nested
flask,fnmatch,stdlib,flask.globals,67639.56414693517,nested
flask,base64,stdlib,flask.globals,54056.61755919017,nested
flask,annotationlib,stdlib,flask.globals,52958.10733346942,nested
flask,hmac,stdlib,flask.globals,55944.65042561203,nested
flask,mimetypes,stdlib,flask.globals,51658.448971785845,nested
flask,functools,stdlib,flask.globals,51844.43535188761,nested
flask,quopri,stdlib,flask.globals,58165.46114148605,nested
flask,hashlib,stdlib,flask.globals,31794.01498630117,nested
flask,socketserver,stdlib,flask.globals,50261.36355182148,nested
flask,secrets,stdlib,flask.globals,56568.12022779494,nested
flask,pkgutil,stdlib,flask.globals,53379.67564019212,nested
flask,reprlib,stdlib,flask.globals,45402.088140701744,nested
flask,random,stdlib,flask.globals,60858.85174760301,nested
flask,weakref,stdlib,flask.globals,46637.81365479535,nested
flask,flask.globals,internal,,5082.196341725993,flat
flask,flask.config,internal,,81205.89607952199,nested
flask,typing,stdlib,flask.config,52702.53949850175,nested
flask,flask.config,internal,,28503.356581020245,flat
flask,flask.sansio.app,internal,,618806.7884259326,nested
flask,werkzeug,external,flask.sansio.app,104802.93400509357,nested
flask,typing,stdlib,flask.sansio.app,56935.0009081739,nested
flask,ast,stdlib,flask.sansio.app,94317.3576282046,nested
flask,pathlib,stdlib,flask.sansio.app,59098.2623626716,nested
flask,fnmatch,stdlib,flask.sansio.app,61250.55554567278,nested
flask,pluggy,external,flask.sansio.app,53333.35274616921,nested
flask,re,stdlib,flask.sansio.app,57152.16296539367,nested
flask,_pytest,external,flask.sansio.app,52792.55378478103,nested
flask,urllib,stdlib,flask.sansio.app,55135.87054533594,nested
flask,flask.sansio.app,internal,,23988.737934436263,flat
flask,flask.typing,internal,,188043.7681940096,nested
flask,typing,stdlib,flask.typing,116328.29928228018,nested
flask,annotationlib,stdlib,flask.typing,59376.503038666444,nested
flask,flask.typing,internal,,12338.965873062978,flat
flask,flask.app,internal,,1932803.2907307313,nested
flask,re,stdlib,flask.app,184968.86267174155,nested
flask,dataclasses,stdlib,flask.app,108024.10307105999,nested
flask,typing,stdlib,flask.app,82292.06521499992,nested
flask,pathlib,stdlib,flask.app,100113.16191988396,nested
flask,click,external,flask.app,109782.93033302356,nested
flask,annotationlib,stdlib,flask.app,54166.17646412057,nested
flask,enum,stdlib,flask.app,72992.89203935974,nested
flask,_pytest,external,flask.app,76789.7860053722,nested
flask,werkzeug,external,flask.app,90076.25624313088,nested
flask,ast,stdlib,flask.app,56771.44819202066,nested
flask,fnmatch,stdlib,flask.app,64677.40325418888,nested
flask,collections,stdlib,flask.app,53521.862564286894,nested
flask,reprlib,stdlib,flask.app,60981.33621456334,nested
flask,pluggy,external,flask.app,55904.23267317098,nested
flask,markupsafe,external,flask.app,60648.55267875475,nested
